S,K,T,r,sigma,type,lastPrice,bsPrice
6770.0,8575.0,0.2465753424657534,0.04,0.20746857387664291,P,1805.0,1724.670334
6770.0,4950.0,0.038356164383561646,0.04,0.2092667448132217,P,0.67,0.0
6770.0,5250.0,0.4931506849315068,0.04,0.21683598874011376,C,1642.37,1635.3702
6770.0,7650.0,0.038356164383561646,0.04,0.19354705173357223,C,0.4,0.053679
6770.0,6800.0,1.0,0.04,0.19084760832162595,P,389.96,396.090962
6770.0,6625.0,0.019178082191780823,0.04,0.17816452385580456,C,166.95,166.408539
6770.0,6525.0,0.005479452054794521,0.04,0.17184547856352675,P,0.0,0.043494
6770.0,8100.0,0.2465753424657534,0.04,0.1966296298160382,P,1330.0,1262.538264
6770.0,5100.0,0.019178082191780823,0.04,0.21073503595131393,P,0.0,0.0
6770.0,6725.0,0.005479452054794521,0.04,0.17909599717158114,P,17.1,17.15679
6770.0,8675.0,0.7397260273972602,0.04,0.21091172535304056,P,1905.0,1728.124986
6770.0,4875.0,0.3287671232876712,0.04,0.22203503561967775,C,1962.31,1959.503602
6770.0,7225.0,0.7397260273972602,0.04,0.20621645569879843,C,369.14,374.528419
6770.0,7425.0,0.0821917808219178,0.04,0.19217803898522257,C,9.06,8.714135
6770.0,6350.0,0.057534246575342465,0.04,0.19711357437148813,P,10.93,11.269918
6770.0,6550.0,0.2465753424657534,0.04,0.19321049570151938,P,134.41,136.353586
6770.0,6175.0,0.038356164383561646,0.04,0.19577014168606116,C,613.38,605.064795
6770.0,8625.0,0.019178082191780823,0.04,0.20537732625119753,P,1855.0,1848.386099
6770.0,5100.0,0.2465753424657534,0.04,0.21887718932517478,C,1734.97,1720.733681
6770.0,7200.0,0.7397260273972602,0.04,0.2008768834976663,P,602.55,591.731367
6770.0,7800.0,1.0,0.04,0.2130927570781353,P,1032.96,1034.457036
6770.0,8675.0,0.2465753424657534,0.04,0.2097092024357348,P,1905.0,1822.882098
6770.0,5575.0,0.038356164383561646,0.04,0.19933292947393816,C,1213.2,1203.546878
6770.0,7825.0,0.1643835616438356,0.04,0.19966766269759834,C,10.82,10.532849
6770.0,7675.0,0.057534246575342465,0.04,0.18639361542873417,C,0.0,0.284795
6770.0,5150.0,0.2465753424657534,0.04,0.2126318844216726,C,1716.26,1671.237456
6770.0,7500.0,0.057534246575342465,0.04,0.19401643391141069,P,730.0,714.618307
6770.0,8425.0,0.1232876712328767,0.04,0.20803097475250987,P,1655.0,1613.826093
6770.0,6400.0,1.0,0.04,0.20467268196799196,C,882.54,893.852498
6770.0,7350.0,0.0136986301369863,0.04,0.19377709458755274,C,0.1,0.006251
6770.0,8275.0,0.2465753424657534,0.04,0.20539724829095535,P,1505.0,1432.816338
6770.0,5650.0,0.019178082191780823,0.04,0.18659450719102727,C,1135.76,1124.332585
6770.0,6325.0,0.057534246575342465,0.04,0.1860090585120921,P,7.57,7.178391
6770.0,5275.0,0.038356164383561646,0.04,0.21012448232550426,P,0.72,0.0
6770.0,5350.0,0.1232876712328767,0.04,0.20505549608321613,P,0.0,0.047558
6770.0,7075.0,0.1643835616438356,0.04,0.19137820500574484,C,107.6,108.633106
6770.0,7650.0,0.7397260273972602,0.04,0.21326317681414272,C,254.27,254.7369
6770.0,6925.0,1.0,0.04,0.198338939573423,C,588.18,590.492207
6770.0,5975.0,0.3287671232876712,0.04,0.20874686284471763,P,46.37,46.578321
6770.0,7250.0,0.0821917808219178,0.04,0.18717962270809632,C,21.23,20.402895
6770.0,5950.0,0.7397260273972602,0.04,0.20921688642463668,P,118.48,116.513907
6770.0,5425.0,0.1643835616438356,0.04,0.20266724077093212,P,0.0,0.409808
6770.0,7800.0,0.1232876712328767,0.04,0.19870948979493985,P,1030.0,996.414737
6770.0,7725.0,0.005479452054794521,0.04,0.19132280924668144,C,0.0,0.0
6770.0,8375.0,0.3287671232876712,0.04,0.20595211932188326,C,16.67,16.52142
6770.0,7750.0,0.7397260273972602,0.04,0.20547700103602956,P,980.0,967.191182
6770.0,5400.0,0.005479452054794521,0.04,0.199679744874684,C,1390.54,1371.183432
6770.0,8600.0,0.019178082191780823,0.04,0.19909273139892733,P,1830.0,1823.40527
6770.0,5150.0,0.019178082191780823,0.04,0.20394650684313764,P,0.27,0.0
