Symbol,Call/Put,Expiration,Strike Price,Volume,Matched,Routed,Bid Size,Bid Price,Ask Size,Ask Price,Last Price
SPXW,C,2025-11-12,6860.0000,121809,121809,0,0,0.0,0,0.0,0.8000
SPXW,C,2025-11-12,6870.0000,116112,116112,0,0,0.0,0,0.0,0.1200
SPXW,C,2025-11-12,6865.0000,100153,100153,0,0,0.0,0,0.0,0.3300
SPXW,C,2025-11-12,6880.0000,99545,99545,0,0,0.0,0,0.0,0.0300
SPXW,P,2025-11-12,6840.0000,94443,94443,0,0,0.0,0,0.0,1.3500
SPXW,C,2025-11-12,6850.0000,92115,92115,0,0,0.0,0,0.0,3.7000
SPXW,C,2025-11-12,6855.0000,85575,85575,0,0,0.0,0,0.0,1.8500
SPXW,P,2025-11-12,6830.0000,85547,85547,0,0,0.0,0,0.0,0.4200
SPXW,C,2025-11-12,6875.0000,84026,84026,0,0,0.0,0,0.0,0.0700
VIX,C,2026-03-18,50.0000,80174,80174,0,0,0.0,0,0.0,0.9300
VIX,C,2026-01-21,47.5000,80094,80094,0,0,0.0,0,0.0,0.7200
SPXW,P,2025-11-12,6850.0000,74334,74334,0,0,0.0,0,0.0,4.7000
SPXW,P,2025-11-12,6845.0000,70303,70303,0,0,0.0,0,0.0,2.6000
SPXW,C,2025-11-12,6885.0000,69239,69239,0,0,0.0,0,0.0,0.0500
SPXW,P,2025-11-12,6835.0000,67589,67589,0,0,0.0,0,0.0,0.7200
SPXW,P,2025-11-12,6800.0000,65065,65065,0,0,0.0,0,0.0,0.0500
SPXW,P,2025-11-12,6820.0000,64717,64717,0,0,0.0,0,0.0,0.1700
SPXW,C,2025-11-12,6890.0000,62020,62020,0,0,0.0,0,0.0,0.0300
SPXW,C,2025-11-12,6900.0000,60992,60992,0,0,0.0,0,0.0,0.0300
VIX,P,2025-11-19,18.0000,60200,60200,0,0,0.0,0,0.0,0.6600
SPXW,P,2025-11-12,6825.0000,59972,59972,0,0,0.0,0,0.0,0.2500
SPXW,P,2025-11-12,6810.0000,51874,51874,0,0,0.0,0,0.0,0.1000
SPXW,P,2025-11-12,6815.0000,47781,47781,0,0,0.0,0,0.0,0.1500
SPXW,C,2025-11-12,6845.0000,45403,45403,0,0,0.0,0,0.0,6.7000
VIX,P,2025-12-17,17.0000,43029,43029,0,0,0.0,0,0.0,0.7100
VIX,C,2025-12-17,22.0000,42803,42803,0,0,0.0,0,0.0,1.5400
SPXW,P,2025-11-12,6855.0000,38104,38104,0,0,0.0,0,0.0,7.7000
SPXW,P,2025-11-12,6790.0000,37729,37729,0,0,0.0,0,0.0,0.0500
SPY,C,2025-11-12,685.0000,36433,35570,863,0,0.0,0,0.0,0.0300
VIX,P,2025-12-17,18.0000,35423,35423,0,0,0.0,0,0.0,1.2200
SPY,C,2025-11-12,684.0000,34756,32150,2606,0,0.0,0,0.0,0.1100
SPXW,P,2025-11-12,6805.0000,33704,33704,0,0,0.0,0,0.0,0.1000
VIX,C,2025-11-19,21.0000,33693,33693,0,0,0.0,0,0.0,0.3800
SPXW,C,2025-11-12,6895.0000,33453,33453,0,0,0.0,0,0.0,0.0300
SPXW,P,2025-11-12,6860.0000,33242,33242,0,0,0.0,0,0.0,11.6000
SPXW,C,2025-11-12,6840.0000,33033,33033,0,0,0.0,0,0.0,10.6000
SPY,C,2025-11-12,683.0000,32677,30096,2581,0,0.0,0,0.0,0.4500
SPY,P,2025-11-12,682.0000,31033,29284,1749,0,0.0,0,0.0,0.1700
VIX,P,2025-12-17,19.0000,30909,30909,0,0,0.0,0,0.0,1.8300
SPXW,P,2025-11-12,6795.0000,28443,28443,0,0,0.0,0,0.0,0.0700
SPXW,C,2025-11-12,6905.0000,28317,28317,0,0,0.0,0,0.0,0.0300
VIX,C,2025-11-19,18.0000,27273,27273,0,0,0.0,0,0.0,0.9000
SPY,P,2025-11-12,683.0000,26660,24709,1951,0,0.0,0,0.0,0.5000
SPXW,P,2025-11-12,6780.0000,26101,26101,0,0,0.0,0,0.0,0.0500
SPY,C,2025-11-12,682.0000,23865,23043,822,0,0.0,0,0.0,1.0800
VIX,C,2025-12-17,19.5000,23667,23667,0,0,0.0,0,0.0,2.0300
VIX,P,2025-12-17,19.5000,23547,23547,0,0,0.0,0,0.0,2.1900
SPXW,C,2025-11-13,7050.0000,23276,23276,0,0,0.0,0,0.0,0.0500
VIX,P,2025-11-19,17.0000,21714,21714,0,0,0.0,0,0.0,0.2300
SPXW,C,2025-11-12,6910.0000,21341,21341,0,0,0.0,0,0.0,0.0300
VIX,C,2026-03-18,23.0000,21062,21062,0,0,0.0,0,0.0,3.1400
SPY,C,2025-11-12,686.0000,20282,19511,771,0,0.0,0,0.0,0.0200
VIX,C,2026-01-21,23.0000,20155,20155,0,0,0.0,0,0.0,2.2900
SPXW,P,2025-11-12,6775.0000,18787,18787,0,0,0.0,0,0.0,0.0500
QQQ,C,2025-11-12,620.0000,18759,17684,1075,0,0.0,0,0.0,0.5400
SPXW,P,2025-11-12,6770.0000,18551,18551,0,0,0.0,0,0.0,0.0500
SPXW,P,2025-11-12,6785.0000,18149,18149,0,0,0.0,0,0.0,0.0700
QQQ,C,2025-11-12,621.0000,17923,17103,820,0,0.0,0,0.0,0.2100
QQQ,P,2025-11-12,620.0000,17819,16888,931,0,0.0,0,0.0,0.5400
VIX,P,2025-11-19,15.0000,17538,17538,0,0,0.0,0,0.0,0.0100
VIX,P,2025-12-17,15.0000,17344,17344,0,0,0.0,0,0.0,0.1200
SPY,P,2025-11-12,680.0000,16820,16030,790,0,0.0,0,0.0,0.0400
SPXW,C,2025-11-12,6920.0000,16603,16603,0,0,0.0,0,0.0,0.0300
SPY,P,2025-11-12,684.0000,16575,15871,704,0,0.0,0,0.0,1.2100
SPXW,C,2025-11-12,6915.0000,16566,16566,0,0,0.0,0,0.0,0.0500
NVDA,C,2025-11-14,195.0000,16243,15633,610,0,0.0,0,0.0,1.4100
QQQ,P,2025-11-12,619.0000,15783,14990,793,0,0.0,0,0.0,0.2100
SPY,C,2025-11-13,684.0000,15243,13370,1873,0,0.0,0,0.0,1.5100
IREN,C,2025-11-14,58.0000,15225,15225,0,0,0.0,0,0.0,1.1000
IREN,P,2025-11-14,49.0000,15197,15197,0,0,0.0,0,0.0,0.3700
QQQ,C,2025-11-12,622.0000,15177,14518,659,0,0.0,0,0.0,0.0600
IREN,C,2025-11-14,62.0000,15122,15122,0,0,0.0,0,0.0,0.3400
IREN,P,2025-11-14,48.5000,15029,15029,0,0,0.0,0,0.0,0.3400
IREN,P,2025-11-14,46.0000,15001,15001,0,0,0.0,0,0.0,0.1700
SPXW,C,2025-11-13,6975.0000,14994,14994,0,0,0.0,0,0.0,0.1700
SPY,P,2025-11-12,681.0000,14563,13763,800,0,0.0,0,0.0,0.0600
QQQ,C,2025-11-12,625.0000,13242,12771,471,0,0.0,0,0.0,0.0100
VIX,C,2025-11-19,18.5000,12794,12794,0,0,0.0,0,0.0,0.7600
SPXW,P,2025-11-12,6765.0000,12708,12708,0,0,0.0,0,0.0,0.0500
SPXW,C,2025-11-12,6835.0000,12633,12633,0,0,0.0,0,0.0,14.6700
VIX,C,2025-12-17,55.0000,12623,12623,0,0,0.0,0,0.0,0.2900
SPXW,P,2025-11-12,6760.0000,12487,12487,0,0,0.0,0,0.0,0.0500
QQQ,C,2025-11-12,623.0000,12350,12113,237,0,0.0,0,0.0,0.0200
SPXW,P,2025-11-13,6675.0000,12192,12192,0,0,0.0,0,0.0,0.5500
VIX,P,2025-11-19,18.5000,12143,12143,0,0,0.0,0,0.0,0.9900
SPXW,P,2025-11-12,6865.0000,12139,12139,0,0,0.0,0,0.0,16.3000
SPXW,P,2025-11-13,6575.0000,11966,11966,0,0,0.0,0,0.0,0.2500
SPX,P,2025-12-19,6000.0000,11778,11778,0,0,0.0,0,0.0,11.7000
SPXW,P,2025-11-12,6750.0000,11669,11669,0,0,0.0,0,0.0,0.0300
SPXW,C,2025-11-13,6900.0000,11649,11649,0,0,0.0,0,0.0,2.7000
IWM,P,2025-12-05,240.0000,11519,11519,0,0,0.0,0,0.0,3.3600
QQQ,P,2025-11-12,618.0000,11482,11030,452,0,0.0,0,0.0,0.0900
VIX,P,2025-12-17,16.5000,11453,11453,0,0,0.0,0,0.0,0.4700
VIX,P,2025-11-19,17.5000,11299,11299,0,0,0.0,0,0.0,0.4200
VIX,C,2025-12-17,25.0000,11243,11243,0,0,0.0,0,0.0,1.1700
AMD,C,2025-11-14,260.0000,10873,10801,72,0,0.0,0,0.0,2.9400
IWM,P,2025-11-21,240.0000,10862,10862,0,0,0.0,0,0.0,1.7900
SPXW,C,2025-11-13,6980.0000,10653,10653,0,0,0.0,0,0.0,0.1500
VIX,C,2025-11-19,26.0000,10573,10573,0,0,0.0,0,0.0,0.2000
VIX,P,2025-11-19,16.0000,10545,10545,0,0,0.0,0,0.0,0.0600
NVDA,C,2025-11-14,190.0000,10230,10230,0,0,0.0,0,0.0,3.9200
HOOD,C,2026-12-18,165.0000,10003,10003,0,0,0.0,0,0.0,27.3600
HOOD,C,2027-01-15,180.0000,10001,10001,0,0,0.0,0,0.0,25.1000
EEM,C,2026-03-20,59.0000,10000,10000,0,0,0.0,0,0.0,0.9400
EEM,P,2026-03-20,51.0000,10000,10000,0,0,0.0,0,0.0,0.8600
VIX,C,2025-11-19,40.0000,9965,9965,0,0,0.0,0,0.0,0.0500
SPXW,C,2025-11-12,6925.0000,9758,9758,0,0,0.0,0,0.0,0.0300
MRVL,P,2025-11-21,60.0000,9650,9650,0,0,0.0,0,0.0,0.0600
SPXW,C,2025-11-12,6830.0000,9639,9639,0,0,0.0,0,0.0,19.3200
VIX,C,2025-11-19,30.0000,9620,9620,0,0,0.0,0,0.0,0.1300
VIX,C,2025-12-17,90.0000,9605,9605,0,0,0.0,0,0.0,0.1000
SPX,P,2025-12-19,5000.0000,9544,9544,0,0,0.0,0,0.0,2.7500
QQQ,C,2025-11-12,624.0000,9503,9305,198,0,0.0,0,0.0,0.0200
VIX,P,2025-11-19,19.5000,9205,9205,0,0,0.0,0,0.0,1.7700
SPX,P,2025-11-21,6000.0000,9182,9182,0,0,0.0,0,0.0,0.9200
SPX,C,2025-12-19,5000.0000,9174,9174,0,0,0.0,0,0.0,1861.0000
SPXW,P,2025-11-12,6870.0000,9128,9128,0,0,0.0,0,0.0,21.7800
VIX,C,2025-12-17,50.0000,8934,8934,0,0,0.0,0,0.0,0.3300
QQQ,P,2025-11-12,621.0000,8851,8259,592,0,0.0,0,0.0,1.2000
NVDA,C,2025-11-14,192.5000,8783,8673,110,0,0.0,0,0.0,2.4700
QQQ,C,2025-11-12,619.0000,8619,8470,149,0,0.0,0,0.0,1.2100
SPY,C,2025-11-12,687.0000,8464,8050,414,0,0.0,0,0.0,0.0100
SPX,P,2025-11-21,5000.0000,8252,8252,0,0,0.0,0,0.0,0.2000
VIX,P,2025-12-17,16.0000,8233,8233,0,0,0.0,0,0.0,0.3200
SPXW,C,2025-11-12,6930.0000,8213,8213,0,0,0.0,0,0.0,0.0300
SPXW,P,2025-11-12,6755.0000,8114,8114,0,0,0.0,0,0.0,0.0500
SPX,P,2026-02-20,6000.0000,8111,8111,0,0,0.0,0,0.0,51.5000
SPX,C,2025-12-19,6000.0000,8104,8104,0,0,0.0,0,0.0,874.5000
SPX,C,2026-02-20,6000.0000,7857,7857,0,0,0.0,0,0.0,944.5000
SPX,C,2025-11-21,5000.0000,7857,7857,0,0,0.0,0,0.0,1841.5400
SPX,C,2025-11-21,6000.0000,7856,7856,0,0,0.0,0,0.0,841.5100
MRK,C,2026-01-16,90.0000,7826,7826,0,0,0.0,0,0.0,4.8000
MRK,C,2026-04-17,95.0000,7795,7795,0,0,0.0,0,0.0,5.3500
VIX,C,2025-12-17,35.0000,7710,7710,0,0,0.0,0,0.0,0.6500
VIX,P,2025-12-17,17.5000,7643,7643,0,0,0.0,0,0.0,0.9500
VIX,C,2026-01-21,40.0000,7642,7642,0,0,0.0,0,0.0,0.9500
VIX,C,2025-12-17,45.0000,7623,7623,0,0,0.0,0,0.0,0.4200
SPY,C,2025-11-12,688.0000,7570,7257,313,0,0.0,0,0.0,0.0100
VIX,C,2025-12-17,65.0000,7441,7441,0,0,0.0,0,0.0,0.2000
VIX,C,2025-12-17,27.0000,7369,7369,0,0,0.0,0,0.0,0.9900
SPXW,C,2025-11-12,6990.0000,7324,7324,0,0,0.0,0,0.0,0.0500
NVDA,C,2025-11-14,200.0000,7197,7095,102,0,0.0,0,0.0,0.3900
SPXW,C,2025-11-14,6900.0000,7132,7132,0,0,0.0,0,0.0,8.1000
SPX,C,2025-12-19,7100.0000,7022,7022,0,0,0.0,0,0.0,32.3000
SPXW,P,2025-11-12,6725.0000,6972,6972,0,0,0.0,0,0.0,0.0500
VIX,C,2026-01-21,27.0000,6958,6958,0,0,0.0,0,0.0,1.7500
SPX,C,2025-12-19,7200.0000,6759,6759,0,0,0.0,0,0.0,15.5700
VIX,C,2025-11-19,20.0000,6674,6674,0,0,0.0,0,0.0,0.4600
VIX,C,2026-02-18,65.0000,6651,6651,0,0,0.0,0,0.0,0.5500
SPXW,P,2025-11-12,6730.0000,6594,6594,0,0,0.0,0,0.0,0.0300
SPXW,C,2025-11-13,6850.0000,6445,6445,0,0,0.0,0,0.0,19.4000
SPY,C,2025-11-13,683.0000,6387,5670,717,0,0.0,0,0.0,2.0000
SPXW,P,2025-11-12,6745.0000,6384,6384,0,0,0.0,0,0.0,0.0300
QQQ,P,2025-11-12,615.0000,6251,6053,198,0,0.0,0,0.0,0.0200
SPY,C,2025-11-12,681.0000,6226,6121,105,0,0.0,0,0.0,2.0000
SPXW,P,2025-11-12,6740.0000,6226,6226,0,0,0.0,0,0.0,0.0300
XSP,P,2025-11-12,684.0000,6220,6220,0,0,0.0,0,0.0,0.1300
NVDA,C,2025-11-14,197.5000,6210,6014,196,0,0.0,0,0.0,0.7500
VIX,P,2025-12-17,20.0000,6183,6183,0,0,0.0,0,0.0,2.5700
SPX,P,2026-12-18,6000.0000,6180,6180,0,0,0.0,0,0.0,219.3000
SPXW,P,2025-11-13,6800.0000,6173,6173,0,0,0.0,0,0.0,5.9600
QQQ,P,2025-11-12,617.0000,6102,5815,287,0,0.0,0,0.0,0.0600
NVDA,P,2025-11-14,190.0000,6082,5971,111,0,0.0,0,0.0,1.7400
MRK,C,2026-04-17,100.0000,6035,6035,0,0,0.0,0,0.0,3.5700
SPXW,C,2025-11-12,6985.0000,6032,6032,0,0,0.0,0,0.0,0.0500
SPY,P,2025-11-12,679.0000,6012,5901,111,0,0.0,0,0.0,0.0300
ACHR,C,2025-11-21,8.5000,5986,5976,10,0,0.0,0,0.0,0.5300
SPX,P,2026-12-18,5000.0000,5937,5937,0,0,0.0,0,0.0,98.4900
VIX,C,2025-11-19,22.0000,5918,5918,0,0,0.0,0,0.0,0.3400
SPX,C,2026-12-18,6000.0000,5871,5871,0,0,0.0,0,0.0,1254.3800
SPX,C,2026-12-18,5000.0000,5852,5852,0,0,0.0,0,0.0,2090.2700
SPXW,C,2025-11-12,6935.0000,5708,5708,0,0,0.0,0,0.0,0.0300
VIX,C,2025-12-17,60.0000,5701,5701,0,0,0.0,0,0.0,0.2300
SPXW,P,2025-11-13,6650.0000,5680,5680,0,0,0.0,0,0.0,0.4000
AMD,C,2025-11-14,270.0000,5650,5616,34,0,0.0,0,0.0,0.9000
XSP,P,2025-11-12,685.0000,5623,5623,0,0,0.0,0,0.0,0.5000
SPXW,P,2025-11-13,6700.0000,5611,5611,0,0,0.0,0,0.0,0.8000
SPXW,P,2025-11-12,6710.0000,5603,5603,0,0,0.0,0,0.0,0.0500
SPXW,P,2025-11-13,6770.0000,5547,5547,0,0,0.0,0,0.0,2.8000
SPXW,P,2025-11-13,6850.0000,5504,5504,0,0,0.0,0,0.0,19.7200
SPXW,C,2025-11-12,6820.0000,5455,5455,0,0,0.0,0,0.0,28.8000
NVDA,C,2025-11-14,205.0000,5431,5430,1,0,0.0,0,0.0,0.1200
VIX,C,2025-12-17,70.0000,5431,5431,0,0,0.0,0,0.0,0.1800
CORZ,P,2025-12-19,12.0000,5394,5394,0,0,0.0,0,0.0,0.3700
SPXW,C,2025-11-12,6950.0000,5341,5341,0,0,0.0,0,0.0,0.0300
SPXW,P,2025-11-13,6550.0000,5271,5271,0,0,0.0,0,0.0,0.2200
SPXW,C,2025-11-13,6875.0000,5256,5256,0,0,0.0,0,0.0,8.3000
SPXW,C,2025-11-12,6940.0000,5239,5239,0,0,0.0,0,0.0,0.0300
SPXW,C,2025-11-13,6860.0000,5225,5225,0,0,0.0,0,0.0,14.1000
VIX,C,2025-12-17,40.0000,5225,5225,0,0,0.0,0,0.0,0.5100
RUTW,P,2025-12-26,2210.0000,5200,5200,0,0,0.0,0,0.0,12.0000
QQQ,P,2025-11-12,616.0000,5175,4760,415,0,0.0,0,0.0,0.0300
SPXW,C,2025-11-13,6870.0000,5072,5072,0,0,0.0,0,0.0,9.7400
SPXW,C,2025-11-13,6915.0000,5069,5069,0,0,0.0,0,0.0,1.2500
SPXW,P,2025-11-12,6700.0000,5061,5061,0,0,0.0,0,0.0,0.0300
TSLA,P,2025-11-14,430.0000,5061,5060,1,0,0.0,0,0.0,6.3500
SPXW,C,2025-11-12,6945.0000,5046,5046,0,0,0.0,0,0.0,0.0300
SPXW,C,2025-11-13,6920.0000,5045,5045,0,0,0.0,0,0.0,0.9500
XSP,C,2025-11-12,686.0000,5001,5001,0,0,0.0,0,0.0,0.0700
RUTW,P,2025-12-19,2100.0000,5001,5001,0,0,0.0,0,0.0,4.8000
FND,P,2026-03-20,52.5000,5000,5000,0,0,0.0,0,0.0,3.7000
IWM,C,2025-11-12,246.0000,4979,4895,84,0,0.0,0,0.0,0.0100
VIX,C,2025-12-17,33.0000,4941,4941,0,0,0.0,0,0.0,0.7000
WOLF1,P,2025-11-21,1.5000,4908,4908,0,0,0.0,0,0.0,1.2600
SPXW,P,2025-11-13,6830.0000,4885,4885,0,0,0.0,0,0.0,12.4000
SPXW,P,2025-11-12,6875.0000,4884,4884,0,0,0.0,0,0.0,26.0000
SPY,C,2025-11-13,685.0000,4876,4654,222,0,0.0,0,0.0,1.0800
SLV,P,2025-11-12,47.5000,4857,4857,0,0,0.0,0,0.0,0.0100
SPY,P,2025-11-12,685.0000,4846,4765,81,0,0.0,0,0.0,2.1100
CORZ,C,2025-11-14,22.5000,4818,4818,0,0,0.0,0,0.0,0.0200
CORZ,C,2025-11-21,17.5000,4817,4817,0,0,0.0,0,0.0,0.5100
CORZ,C,2025-11-14,20.5000,4815,4815,0,0,0.0,0,0.0,0.0400
CORZ,C,2025-11-21,19.5000,4814,4814,0,0,0.0,0,0.0,0.1300
SPXW,C,2025-11-14,6950.0000,4803,4803,0,0,0.0,0,0.0,1.2000
SPXW,P,2025-11-12,6720.0000,4767,4767,0,0,0.0,0,0.0,0.0300
